layanan,durasi_pelayanan
pembayaran semester,2
pembayaran semester,6
pembayaran semester,12943
pembayaran tunggakan,5
pembayaran semester,1
pembayaran tunggakan,5
pembayaran semester,1
pembayaran semester,2
pembayaran tunggakan,2
pengambilan kartu ujian,18
pembayaran semester,1
pembayaran semester,1
pembayaran tunggakan,12
pengambilan kartu ujian,16
pembayaran semester,42
pembayaran semester,42
pembayaran semester,40
pembayaran tunggakan,37
pembayaran semester,6
pengambilan kartu ujian,6
pembayaran tunggakan,6
pembayaran semester,26
pembayaran semester,2
pengambilan kartu ujian,4
pembayaran tunggakan,3
pembayaran semester,18
pembayaran semester,3
pembayaran tunggakan,12946
pembayaran semester,12946
pembayaran semester,12943
